Industry,Sub-sector,Sub level,Description
Energy and natural resources,Oil & gas,Gas utilities,Companies involved in the transmission or distribution of natural and manufactured gas. Excludes companies primarily involved in gas exploration or production classified in the oil & gas exploration & production sub-industry.   Also excludes diversified midstream natural gas companies classified in the oil & gas storage & transportation sub-industry.
Energy and natural resources,Oil & gas,Independent power producers and energy traders,"Companies that operate as independent power producers (IPPs), gas & power marketing & trading specialists or Integrated energy merchants.   Excludes electric transmission companies and utility distribution companies classified in the electric utilities sub-industry."
Energy and natural resources,Mining,Mining explorers,No description
Energy and natural resources,Mining,Mining producers,No description
Energy and natural resources,Mining,Mining services,No description
Energy and natural resources,Utilities & cleantech,Multi-utilities,"Utility companies with significantly diversified activities in addition to core electric utility, gas utility or water utility operations."
Energy and natural resources,Oil & gas,Oil & gas,"Integrated oil companies engaged in the exploration & production of oil and gas, as well as at least one other significant activity in either refining, marketing and transportation, or chemicals."
Energy and natural resources,Oil & gas,Oil & gas drilling,No description
Energy and natural resources,Oil & gas,Oil & gas services,No description
Energy and natural resources,Utilities & cleantech,Waste water treatment or purification,No description
Energy and natural resources,Utilities & cleantech,Water utilities,Companies that purchase and redistribute water to the end-consumer. Includes large-scale water treatment systems.
Financial services,Asset management,Asset managers,"Financial institutions and government sponsored entities primarily engaged in investment management. Includes companies operating mutual funds, hedge funds, closed-end funds, unit investment trusts and special purpose vehicles. "
Financial services,Banking,Brokerage,Financial institutions primarily that facilitates the buying and selling of financial derivatives between a buyer and a seller and provide a source of up-to-date stock prices and quotes.
Financial services,Banking,Capital markets,Diversified capital markets
Financial services,Banking,Commercial banks,Commercial banks whose businesses are derived primarily from commercial lending operations and have significant business activity in retail banking and small and medium corporate lending.  Excludes banks classified in the regional banks and thrifts & mortgage finance sub-industries. Also excludes investment banks classified in the investment banking & brokerage sub-industry.
Financial services,Banking,Consumer finance,No description
Financial services,Banking,Credit unions,"A cooperative financial institution that is owned and controlled by its members and operated for the purpose of promoting thrift, providing credit at competitive rates, and providing other financial services to its members"
Financial services,Banking,Diversified financial services,Other diversified financial services and multi-sector holdings
Financial services,Asset management,Fund administrators,"Financial institutions primarily engaged in providing administration and valuation fee-based services to mutual funds, hedge funds, closed-end funds, unit investment trusts and special purpose vehicles."
Financial services,Private equity,Global private equity,"Private equity businesses investing or providing funding, generally of $100m to $1bn for leveraged buy outs, privatisation of large public companies and significant investments into large listed and unlisted companies "
Financial services,Asset management,Hedge funds & special purpose vehicles,"Primarily unregulated funds and special purpose vehicles open to a limited number of investors, requiring large initial investment, undertaking a wide variety of investments"
Financial services,Insurance,Insurance brokers and intermediaries,Insurance and reinsurance brokerage firms.
Financial services,Banking,Investment banking,"Financial institutions primarily engaged in investment banking, including equity and debt underwriting, mergers and acquisitions, securities lending and advisory services. Excludes banks and other financial institutions primarily involved in commercial lending, asset management and specialised financial activities. "
Financial services,Insurance,Life and health insurance,"Companies providing primarily life, disability, indemnity or supplemental health insurance. Excludes managed care companies classified in the managed healthcare sub-industry."
Financial services,Private equity,Mid-market private equity,"Private equity businesses investing or providing funding, generally of $10m to $100m, be it equity, mezzanine or growth capital, into businesses requiring investment for a series of potential reasons: management buyout or ins, development capital to support organic or acquisitive growth, private placing or turnaround funding"
Financial services,Insurance,Non-life insurance,No description
Financial services,Banking,Specialised finance,"Providers of specialised financial services. Includes credit agencies, stock exchanges, specialty boutiques and providers of mezzanine finance"
Financial services,Banking,Thrifts & mortgage finance,"Financial institutions providing mortgage and mortgage related services.  These include financial institutions whose assets are primarily mortgage related, savings & loans,  mortgage lending institutions, building societies and companies providing insurance to mortgage banks."
Financial services,Private equity,Venture capital & venture capital trusts,Venture capital firms and venture capital trusts providing growth investment or funding for SMEs or start-ups which require equity funding of up to $10m for management buy outs/ins or development capital 
Healthcare,Life sciences,Biotechnology,"Companies primarily engaged in the research, development, manufacturing or marketing of products based on genetic analysis and genetic engineering.  Includes companies specialising in protein-based therapeutics to treat human diseases"
Healthcare,Healthcare providers & services,Health care distributors,Health care distributors
Healthcare,Life sciences,Healthcare equipment & supplies,Health care equipment and supplies
Healthcare,Healthcare providers & services,Healthcare services,"Providers of patient healthcare services not classified elsewhere. Includes dialysis centres, lab testing services, and pharmacy management services. Also includes companies providing business support services to health care providers, such as clerical support services, collection agency services, staffing services and outsourced sales & marketing services"
Healthcare,Healthcare providers & services,Healthcare technology,"Companies providing information technology services primarily to health care providers.  Includes companies providing application, systems or data processing software, internet-based tools, and IT consulting services to doctors, hospitals or businesses operating primarily in the healthcare sector."
Healthcare,Healthcare providers & services,"Hospitals, health systems, clinics and specialty provider services","Healthcare facilities: Owners and operators of health care facilities, including hospitals, nursing homes or aged care, rehabilitation centres and animal hospitals."
Healthcare,Life sciences,Life sciences tools & services,"Companies enabling the drug discovery, development and production continuum by providing analytical tools, instruments, consumables & supplies, clinical trial services and contract research services.  Includes firms primarily servicing the pharmaceutical and biotechnology industries."
Healthcare,Healthcare providers & services,"Long term care, senior living organisations, continuing care retirement communities",No description
Healthcare,Healthcare providers & services,Managed healthcare,Owners and operators of health maintenance organisations (HMOs) and other managed plans.
Healthcare,Life sciences,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
Healthcare,Healthcare providers & services,Rehabilitation centres,"Owners and operators of health care facilities, including hospitals, nursing homes, rehabilitation centres and animal hospitals."
Industrial products,Aerospace & defence,,"Manufacturers of civil or military aerospace and defence equipment, parts or products. Includes defence electronics and space equipment."
Industrial products,Building products,,Manufacturers of building components and home improvement products and equipment. Excludes lumber and plywood classified under Forest products and cement and other materials classified in the construction materials.
